player,comp,round,date,venue,opp,pos,min,type,assisted,time_class,assist,solo,year,month,day,dayofweek,dayofyear,weekofyear,quarter,goal
messi,Supercopa,final,2010-08-21,H,Sevilla FC,RW,25,Left-footed shot,Xavi,first_half,Xavi,assisted,2010,8,21,6,233,33,3,1
messi,Supercopa,final,2010-08-21,H,Sevilla FC,,43,Right-footed shot,Dani Alves,first_half,Dani Alves,assisted,2010,8,21,6,233,33,3,1
messi,Supercopa,final,2010-08-21,H,Sevilla FC,,901,Left-footed shot,Andrés Iniesta,extra_time,Andrés Iniesta,assisted,2010,8,21,6,233,33,3,1
messi,LaLiga,1,2010-08-29,A,Racing  ,RW,3,Left-footed shot,Andrés Iniesta,first_half,Andrés Iniesta,assisted,2010,8,29,7,241,34,3,1
messi,Champions League,Group Stage,2010-09-14,H,Panathinaikos,CF,22,Left-footed shot,Xavi,first_half,Xavi,assisted,2010,9,14,2,257,37,3,1
messi,Champions League,Group Stage,2010-09-14,H,Panathinaikos,,45,Left-footed shot,Pedro,first_half,Pedro,assisted,2010,9,14,2,257,37,3,1
messi,LaLiga,3,2010-09-19,A,Atlético Madrid  ,CF,12,Left-footed shot,Pedro,first_half,Pedro,assisted,2010,9,19,7,262,37,3,1
messi,LaLiga,6,2010-10-03,H,RCD Mallorca  ,CF,20,Left-footed shot,Pedro,first_half,Pedro,assisted,2010,10,3,7,276,39,4,1
messi,Champions League,Group Stage,2010-10-20,H,FC Copenhagen,CF,18,Left-footed shot,Andrés Iniesta,first_half,Andrés Iniesta,assisted,2010,10,20,3,293,42,4,1
messi,Champions League,Group Stage,2010-10-20,H,FC Copenhagen,,901,Left-footed shot,Éric Abidal,extra_time,Éric Abidal,assisted,2010,10,20,3,293,42,4,1
messi,LaLiga,8,2010-10-23,A,Real Zaragoza  ,CF,41,Left-footed shot,David Villa,first_half,David Villa,assisted,2010,10,23,6,296,42,4,1
messi,LaLiga,8,2010-10-23,A,Real Zaragoza  ,,65,Left-footed shot,,secound_half,0,solo,2010,10,23,6,296,42,4,1
messi,LaLiga,9,2010-10-30,H,Sevilla FC  ,RW,4,Left-footed shot,,first_half,0,solo,2010,10,30,6,303,43,4,1
messi,LaLiga,9,2010-10-30,H,Sevilla FC  ,,63,Left-footed shot,,secound_half,0,solo,2010,10,30,6,303,43,4,1
messi,Champions League,Group Stage,2010-11-02,A,FC Copenhagen,CF,31,Right-footed shot,,first_half,0,solo,2010,11,2,2,306,44,4,1
messi,LaLiga,10,2010-11-07,A,Getafe  ,CF,23,Left-footed shot,,first_half,0,solo,2010,11,7,7,311,44,4,1
messi,Copa del Rey,4th round,2010-11-10,H,AD Ceuta ,RW,67,Left-footed shot,Thiago,secound_half,Thiago,assisted,2010,11,10,3,314,45,4,1
messi,LaLiga,11,2010-11-13,H,Villarreal  ,CF,58,Right-footed shot,Pedro,secound_half,Pedro,assisted,2010,11,13,6,317,45,4,1
messi,LaLiga,11,2010-11-13,H,Villarreal  ,,83,Left-footed shot,Pedro,secound_half,Pedro,assisted,2010,11,13,6,317,45,4,1
messi,LaLiga,12,2010-11-20,A,UD Almería  ,CF,16,Left-footed shot,David Villa,first_half,David Villa,assisted,2010,11,20,6,324,46,4,1
messi,LaLiga,12,2010-11-20,A,UD Almería  ,,36,Tap-in,,first_half,0,solo,2010,11,20,6,324,46,4,1
messi,LaLiga,12,2010-11-20,A,UD Almería  ,,67,Tap-in,David Villa,secound_half,David Villa,assisted,2010,11,20,6,324,46,4,1
messi,Champions League,Group Stage,2010-11-24,A,Panathinaikos,CF,63,Left-footed shot,Adriano,secound_half,Adriano,assisted,2010,11,24,3,328,47,4,1
messi,LaLiga,14,2010-12-04,A,CA Osasuna  ,CF,64,Left-footed shot,David Villa,secound_half,David Villa,assisted,2010,12,4,6,338,48,4,1
messi,LaLiga,14,2010-12-04,A,CA Osasuna  ,,82,Penalty,,secound_half,0,solo,2010,12,4,6,338,48,4,1
messi,LaLiga,15,2010-12-12,H,Real Sociedad  ,CF,46,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2010,12,12,7,346,49,4,1
messi,LaLiga,15,2010-12-12,H,Real Sociedad  ,,86,Left-footed shot,Bojan Krkic,secound_half,Bojan Krkic,assisted,2010,12,12,7,346,49,4,1
messi,LaLiga,18,2011-01-08,A,Dep. La Coruña  ,CF,51,Direct free kick,,secound_half,0,solo,2011,1,8,6,8,1,1,1
messi,Copa del Rey,Quarter-Finals,2011-01-12,H,Real Betis,CF,44,Left-footed shot,Andrés Iniesta,first_half,Andrés Iniesta,assisted,2011,1,12,3,12,2,1,1
messi,Copa del Rey,Quarter-Finals,2011-01-12,H,Real Betis,,63,Left-footed shot,,secound_half,0,solo,2011,1,12,3,12,2,1,1
messi,Copa del Rey,Quarter-Finals,2011-01-12,H,Real Betis,,73,Left-footed shot,Xavi,secound_half,Xavi,assisted,2011,1,12,3,12,2,1,1
messi,Copa del Rey,Quarter-Finals,2011-01-19,A,Real Betis,RW,37,Left-footed shot,Xavi,first_half,Xavi,assisted,2011,1,19,3,19,3,1,1
messi,LaLiga,20,2011-01-22,H,Racing  ,CF,33,Penalty,,first_half,0,solo,2011,1,22,6,22,3,1,1
messi,Copa del Rey,Semi-Finals,2011-01-26,H,UD Almería,CF,9,Left-footed shot,Pedro,first_half,Pedro,assisted,2011,1,26,3,26,4,1,1
messi,Copa del Rey,Semi-Finals,2011-01-26,H,UD Almería,,15,Left-footed shot,Andrés Iniesta,first_half,Andrés Iniesta,assisted,2011,1,26,3,26,4,1,1
messi,LaLiga,21,2011-01-29,A,Hércules CF  ,CF,87,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2011,1,29,6,29,4,1,1
messi,LaLiga,21,2011-01-29,A,Hércules CF  ,,89,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2011,1,29,6,29,4,1,1
messi,LaLiga,22,2011-02-05,H,Atlético Madrid  ,CF,16,Left-footed shot,Dani Alves,first_half,Dani Alves,assisted,2011,2,5,6,36,5,1,1
messi,LaLiga,22,2011-02-05,H,Atlético Madrid  ,,28,Left-footed shot,Pedro,first_half,Pedro,assisted,2011,2,5,6,36,5,1,1
messi,LaLiga,22,2011-02-05,H,Atlético Madrid  ,,78,Left-footed shot,David Villa,secound_half,David Villa,assisted,2011,2,5,6,36,5,1,1
messi,LaLiga,24,2011-02-20,H,Athletic  ,CF,78,Right-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2011,2,20,7,51,7,1,1
messi,LaLiga,25,2011-02-26,A,RCD Mallorca  ,CF,38,Header,Seydou Keita,first_half,Seydou Keita,assisted,2011,2,26,6,57,8,1,1
messi,LaLiga,26,2011-03-02,A,Valencia  ,CF,77,Left-footed shot,Adriano,secound_half,Adriano,assisted,2011,3,2,3,61,9,1,1
messi,Champions League,last 16,2011-03-08,H,Arsenal,RW,49,Left-footed shot,Andrés Iniesta,secound_half,Andrés Iniesta,assisted,2011,3,8,2,67,10,1,1
messi,Champions League,last 16,2011-03-08,H,Arsenal,,72,Penalty,,secound_half,0,solo,2011,3,8,2,67,10,1,1
messi,LaLiga,31,2011-04-09,H,UD Almería  ,CF,52,Penalty,,secound_half,0,solo,2011,4,9,6,99,14,2,1
messi,LaLiga,31,2011-04-09,H,UD Almería  ,,901,Left-footed shot,Seydou Keita,extra_time,Seydou Keita,assisted,2011,4,9,6,99,14,2,1
messi,Champions League,Quarter-Finals,2011-04-12,A,Shakhtar D.,CF,42,Left-footed shot,Dani Alves,first_half,Dani Alves,assisted,2011,4,12,2,102,15,2,1
messi,LaLiga,32,2011-04-16,A,Real Madrid  ,CF,53,Penalty,,secound_half,0,solo,2011,4,16,6,106,15,2,1
messi,LaLiga,33,2011-04-23,H,CA Osasuna  ,CF,87,Right-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2011,4,23,6,113,16,2,1
messi,Champions League,Semi-Finals,2011-04-27,A,Real Madrid,CF,76,Left-footed shot,Ibrahim Afellay,secound_half,Ibrahim Afellay,assisted,2011,4,27,3,117,17,2,1
messi,Champions League,Semi-Finals,2011-04-27,A,Real Madrid,,87,Solo run,Sergio Busquets,secound_half,Sergio Busquets,assisted,2011,4,27,3,117,17,2,1
messi,Champions League,Final,2011-05-28,H,Man Utd,CF,54,Left-footed shot,Andrés Iniesta,secound_half,Andrés Iniesta,assisted,2011,5,28,6,148,21,2,1
messi,Supercopa,final,2011-08-14,A,Real Madrid,CF,45,Left-footed shot,Thiago,first_half,Thiago,assisted,2011,8,14,7,226,32,3,1
messi,Supercopa,final,2011-08-17,H,Real Madrid,CF,44,Right-footed shot,Gerard Piqué,first_half,Gerard Piqué,assisted,2011,8,17,3,229,33,3,1
messi,Supercopa,final,2011-08-17,H,Real Madrid,,88,Left-footed shot,Adriano,secound_half,Adriano,assisted,2011,8,17,3,229,33,3,1
messi,UEFA Super Cup,Final,2011-08-26,H,FC Porto,CF,39,Left-footed shot,,first_half,0,solo,2011,8,26,5,238,34,3,1
messi,LaLiga,2,2011-08-29,H,Villarreal  ,CF,51,Right-footed shot,Andrés Iniesta,secound_half,Andrés Iniesta,assisted,2011,8,29,1,241,35,3,1
messi,LaLiga,2,2011-08-29,H,Villarreal  ,,74,Left-footed shot,Thiago,secound_half,Thiago,assisted,2011,8,29,1,241,35,3,1
messi,LaLiga,4,2011-09-17,H,CA Osasuna  ,CF,5,Left-footed shot,Dani Alves,first_half,Dani Alves,assisted,2011,9,17,6,260,37,3,1
messi,LaLiga,4,2011-09-17,H,CA Osasuna  ,,41,Left-footed shot,Cesc Fàbregas,first_half,Cesc Fàbregas,assisted,2011,9,17,6,260,37,3,1
messi,LaLiga,4,2011-09-17,H,CA Osasuna  ,,79,Left-footed shot,Cesc Fàbregas,secound_half,Cesc Fàbregas,assisted,2011,9,17,6,260,37,3,1
messi,LaLiga,6,2011-09-24,H,Atlético Madrid  ,CF,26,Left-footed shot,Pedro,first_half,Pedro,assisted,2011,9,24,6,267,38,3,1
messi,LaLiga,6,2011-09-24,H,Atlético Madrid  ,,78,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2011,9,24,6,267,38,3,1
messi,LaLiga,6,2011-09-24,H,Atlético Madrid  ,,901,Left-footed shot,David Villa,extra_time,David Villa,assisted,2011,9,24,6,267,38,3,1
messi,Champions League,Group Stage,2011-09-28,A,BATE Borisov,CF,38,Header,,first_half,0,solo,2011,9,28,3,271,39,3,1
messi,Champions League,Group Stage,2011-09-28,A,BATE Borisov,,56,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2011,9,28,3,271,39,3,1
messi,LaLiga,8,2011-10-15,H,Racing  ,CF,11,Right-footed shot,Andrés Iniesta,first_half,Andrés Iniesta,assisted,2011,10,15,6,288,41,4,1
messi,LaLiga,8,2011-10-15,H,Racing  ,,69,Right-footed shot,,secound_half,0,solo,2011,10,15,6,288,41,4,1
messi,LaLiga,11,2011-10-29,H,RCD Mallorca  ,CF,13,Penalty,,first_half,0,solo,2011,10,29,6,302,43,4,1
messi,LaLiga,11,2011-10-29,H,RCD Mallorca  ,,21,Right-footed shot,Adriano,first_half,Adriano,assisted,2011,10,29,6,302,43,4,1
messi,LaLiga,11,2011-10-29,H,RCD Mallorca  ,,30,Left-footed shot,Dani Alves,first_half,Dani Alves,assisted,2011,10,29,6,302,43,4,1
messi,Champions League,Group Stage,2011-11-01,A,Viktoria Plzen,CF,24,Penalty,,first_half,0,solo,2011,11,1,2,305,44,4,1
messi,Champions League,Group Stage,2011-11-01,A,Viktoria Plzen,,452,Left-footed shot,Adriano,extra_time,Adriano,assisted,2011,11,1,2,305,44,4,1
messi,Champions League,Group Stage,2011-11-01,A,Viktoria Plzen,,902,Left-footed shot,Gerard Piqué,extra_time,Gerard Piqué,assisted,2011,11,1,2,305,44,4,1
messi,LaLiga,12,2011-11-06,A,Athletic  ,CF,90,Left-footed shot,,secound_half,0,solo,2011,11,6,7,310,44,4,1
messi,LaLiga,13,2011-11-19,H,Real Zaragoza  ,CF,43,Right-footed shot,Cesc Fàbregas,first_half,Cesc Fàbregas,assisted,2011,11,19,6,323,46,4,1
messi,Champions League,Group Stage,2011-11-23,A,AC Milan,RW,31,Penalty,,first_half,0,solo,2011,11,23,3,327,47,4,1
messi,LaLiga,17,2011-11-29,H,Rayo Vallecano  ,CF,49,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2011,11,29,2,333,48,4,1
messi,LaLiga,15,2011-12-03,H,Levante  ,CF,55,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2011,12,3,6,337,48,4,1
messi,Club World Cup,Final,2011-12-18,A,Santos FC,RW,17,Left-footed shot,Xavi,first_half,Xavi,assisted,2011,12,18,7,352,50,4,1
messi,Club World Cup,Final,2011-12-18,A,Santos FC,,82,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2011,12,18,7,352,50,4,1
messi,Copa del Rey,last 16,2012-01-04,H,CA Osasuna,CF,71,Header,Cesc Fàbregas,secound_half,Cesc Fàbregas,assisted,2012,1,4,3,4,1,1,1
messi,Copa del Rey,last 16,2012-01-04,H,CA Osasuna,,90,Left-footed shot,Xavi,secound_half,Xavi,assisted,2012,1,4,3,4,1,1,1
messi,LaLiga,19,2012-01-15,H,Real Betis  ,CF,12,Right-footed shot,Alexis Sánchez,first_half,Alexis Sánchez,assisted,2012,1,15,7,15,2,1,1
messi,LaLiga,19,2012-01-15,H,Real Betis  ,,86,Penalty,,secound_half,0,solo,2012,1,15,7,15,2,1,1
messi,LaLiga,1,2012-01-22,A,Málaga CF  ,CF,32,Header,Adriano,first_half,Adriano,assisted,2012,1,22,7,22,3,1,1
messi,LaLiga,1,2012-01-22,A,Málaga CF  ,,51,Left-footed shot,Thiago,secound_half,Thiago,assisted,2012,1,22,7,22,3,1,1
messi,LaLiga,1,2012-01-22,A,Málaga CF  ,,77,Left-footed shot,Pedro,secound_half,Pedro,assisted,2012,1,22,7,22,3,1,1
messi,LaLiga,22,2012-02-04,H,Real Sociedad  ,CF,72,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2012,2,4,6,35,5,1,1
messi,Champions League,last 16,2012-02-14,A,Bay. Leverkusen,CF,88,Left-footed shot,Dani Alves,secound_half,Dani Alves,assisted,2012,2,14,2,45,7,1,1
messi,LaLiga,24,2012-02-19,H,Valencia  ,CF,21,Left-footed shot,,first_half,0,solo,2012,2,19,7,50,7,1,1
messi,LaLiga,24,2012-02-19,H,Valencia  ,,27,Tap-in,,first_half,0,solo,2012,2,19,7,50,7,1,1
messi,LaLiga,24,2012-02-19,H,Valencia  ,,75,Left-footed shot,,secound_half,0,solo,2012,2,19,7,50,7,1,1
messi,LaLiga,24,2012-02-19,H,Valencia  ,,84,Left-footed shot,Sergio Busquets,secound_half,Sergio Busquets,assisted,2012,2,19,7,50,7,1,1
messi,LaLiga,25,2012-02-26,A,Atlético Madrid  ,CF,79,Direct free kick,,secound_half,0,solo,2012,2,26,7,57,8,1,1
messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,CF,25,Left-footed shot,Xavi,first_half,Xavi,assisted,2012,3,7,3,67,10,1,1
messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,,42,Left-footed shot,Andrés Iniesta,first_half,Andrés Iniesta,assisted,2012,3,7,3,67,10,1,1
